Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](TimeStep) 
 05/06  23:00:00,26.5,0.0 
 05/06  23:10:00,26.8,0.0 
 05/06  23:20:00,26.2,0.0 
 05/06  23:30:00,24.8,0.0 
 05/06  23:40:00,24.9,0.0 
 05/06  23:50:00,25.3,0.0 
 05/06  24:00:00,24.3,0.0 
 05/07  00:10:00,23.7,0.0 
 05/07  00:20:00,24.3,0.0 
 05/07  00:30:00,24.4,0.0 
 05/07  00:40:00,24.3,0.0 
 05/07  00:50:00,24.2,0.0 
 05/07  01:00:00,23.9,0.0 
 05/07  01:10:00,23.5,0.0 
 05/07  01:20:00,23.5,0.0 
 05/07  01:30:00,23.5,0.0 
 05/07  01:40:00,23.5,0.0 
 05/07  01:50:00,23.5,0.0 
 05/07  02:00:00,23.4,0.0 
 05/07  02:10:00,23.5,0.0 
 05/07  02:20:00,23.6,0.0 
 05/07  02:30:00,23.4,0.0 
 05/07  02:40:00,23.0,0.0 
 05/07  02:50:00,23.1,0.0 
 05/07  03:00:00,23.1,0.0 
 05/07  03:10:00,23.1,0.0 
 05/07  03:20:00,23.0,0.0 
 05/07  03:30:00,22.7,0.0 
 05/07  03:40:00,22.6,0.0 
 05/07  03:50:00,22.8,0.0 
 05/07  04:00:00,23.1,0.0 
 05/07  04:10:00,22.8,0.0 
 05/07  04:20:00,22.5,0.0 
 05/07  04:30:00,22.2,0.0 
 05/07  04:40:00,22.0,0.0 
 05/07  04:50:00,21.9,0.0 
 05/07  05:00:00,22.1,0.0 
 05/07  05:10:00,22.3,0.0 
 05/07  05:20:00,21.7,0.0 
 05/07  05:30:00,21.2,0.0 
 05/07  05:40:00,20.7,0.0 
 05/07  05:50:00,20.6,0.0 
 05/07  06:00:00,20.6,0.0 
 05/07  06:10:00,20.6,0.0 
 05/07  06:20:00,20.9,0.003 
 05/07  06:30:00,21.3,2.33 
 05/07  06:40:00,21.1,9.66 
 05/07  06:50:00,20.3,19.7 
 05/07  07:00:00,20.5,32.15 
 05/07  07:10:00,21.1,44.83 
 05/07  07:20:00,21.6,57.13 
 05/07  07:30:00,22.0,67.93 
 05/07  07:40:00,22.8,83.1 
 05/07  07:50:00,23.9,106.0 
 05/07  08:00:00,24.2,98.6 
 05/07  08:10:00,24.7,99.4 
 05/07  08:20:00,25.5,114.0 
 05/07  08:30:00,25.8,125.0 
 05/07  08:40:00,26.9,136.9 
 05/07  08:50:00,27.3,148.0 
 05/07  09:00:00,27.3,161.9 
 05/07  09:10:00,27.2,167.2 
 05/07  09:20:00,27.2,170.7 
 05/07  09:30:00,27.5,169.3 
 05/07  09:40:00,27.7,180.4 
 05/07  09:50:00,28.5,189.3 
 05/07  10:00:00,27.9,195.6 
 05/07  10:10:00,27.9,202.5 
 05/07  10:20:00,28.2,209.7 
 05/07  10:30:00,28.7,209.7 
 05/07  10:40:00,28.7,209.8 
 05/07  10:50:00,29.0,209.0 
 05/07  11:00:00,29.4,211.2 
 05/07  11:10:00,29.7,214.8 
 05/07  11:20:00,29.4,217.2 
 05/07  11:30:00,29.8,216.8 
 05/07  11:40:00,31.2,214.0 
 05/07  11:50:00,30.9,206.7 
 05/07  12:00:00,30.6,203.5 
 05/07  12:10:00,31.4,194.4 
 05/07  12:20:00,32.0,183.5 
 05/07  12:30:00,31.8,177.6 
 05/07  12:40:00,31.6,168.1 
 05/07  12:50:00,32.4,161.7 
 05/07  13:00:00,33.1,165.4 
 05/07  13:10:00,33.2,168.0 
 05/07  13:20:00,33.1,171.9 
 05/07  13:30:00,32.6,169.4 
 05/07  13:40:00,33.1,170.3 
 05/07  13:50:00,34.3,169.9 
 05/07  14:00:00,34.5,175.9 
 05/07  14:10:00,34.4,181.1 
 05/07  14:20:00,34.1,188.6 
 05/07  14:30:00,34.5,192.8 
 05/07  14:40:00,34.9,198.1 
 05/07  14:50:00,34.3,202.6 
 05/07  15:00:00,34.1,197.1 
 05/07  15:10:00,34.2,195.8 
 05/07  15:20:00,34.5,194.0 
 05/07  15:30:00,34.5,187.3 
 05/07  15:40:00,34.9,182.1 
 05/07  15:50:00,34.2,176.5 
 05/07  16:00:00,35.1,174.7 
 05/07  16:10:00,34.9,170.1 
 05/07  16:20:00,35.0,161.6 
 05/07  16:30:00,34.8,156.7 
 05/07  16:40:00,35.1,147.8 
 05/07  16:50:00,34.7,139.2 
